player_cn_name,player_en_name,player_number,player_position,player_height,player_weight,player_birth,player_salary
拉塞尔-威斯布鲁克,Russell Westbrook,0,G,1.91,91,1988-11-12,3850
詹姆斯-哈登,James Harden,13,G,1.96,100,1989-08-26,3819
埃里克-戈登,Eric Gordon,10,G-F,1.91,98,1988-12-25,1406
罗伯特-科温顿,Robert Covington,33,F,2.01,95,1990-12-14,1082
PJ-塔克,P.J. Tucker,17,F,1.96,111,1985-05-05,835
丹纽尔-豪斯,Danuel House,4,F-G,1.98,100,1993-06-07,349
泰森-钱德勒,Tyson Chandler,19,C,2.13,107,1982-10-02,256
萨博-塞福洛沙,Thabo Sefolosha,18,F-G,1.98,98,1984-05-02,256
奥斯汀-里弗斯,Austin Rivers,25,G,1.91,91,1992-08-01,217
本-麦克勒摩,Ben McLemore,16,G,1.91,88,1993-02-11,202
布鲁诺-卡博克洛,Bruno Caboclo,5,F,2.06,99,1995-09-21,185
以赛亚-哈尔滕施泰因,Isaiah Hartenstein,55,C-F,2.13,113,1998-05-05,142
克里斯-克莱蒙斯,Chris Clemons,3,G,1.75,82,1997-07-23,89
德马雷-卡罗尔,DeMarre Carroll,9,F,1.98,98,1986-07-27,null
杰夫-格林,Jeff Green,32,F,2.03,107,1986-08-28,null
威廉-霍华德,William Howard,52,G,2.03,94,1993-10-25,null
迈克尔-弗雷泽,Michael Frazier,21,G,1.91,91,1994-03-08,null
克里斯塔普斯-波尔津吉斯,Kristaps Porzingis,6,F-C,2.21,109,1995-08-02,2728
小蒂姆-哈达威,Tim Hardaway,11,G-F,1.96,93,1992-03-16,1815
考特尼-李,Courtney Lee,1,G,1.96,98,1985-10-03,1276
德怀特-鲍威尔,Dwight Powell,7,F-C,2.08,109,1991-07-20,1025
德朗-赖特,Delon Wright,55,G,1.96,84,1992-04-26,947
马克西-克勒贝尔,Maxi Kleber,42,C,2.08,109,1992-01-29,781
卢卡-东契奇,Luka Doncic,77,G-F,2.01,104,1999-02-28,768
塞思-库里,Seth Curry,30,G,1.88,84,1990-08-23,744
威利-考利-斯坦,Willie Cauley-Stein,33,C,2.13,109,1993-08-18,470
多里安-芬尼-史密斯,Dorian Finney-Smith,10,F,2.01,100,1993-05-04,400
博班-马里亚诺维奇,Boban Marjanovic,51,C,2.24,132,1988-08-15,341
贾斯廷-杰克逊,Justin Jackson,44,F,2.01,100,1995-03-28,328
何塞-巴里亚,J.J. Barea,5,G,1.78,82,1984-06-26,256
杰伦-布伦森,Jalen Brunson,13,G,1.85,86,1996-08-31,141
约什-里夫斯,Josh Reaves,23,G-F,1.93,97,1997-06-04,7
安东尼斯-克利夫兰,Antonius Cleveland,3,G,1.96,88,1994-02-02,7
迈克尔-基德-吉尔克里斯特,Michael Kidd-Gilchrist,9,F,1.98,105,1993-09-26,null
戈尔吉-吉昂,Gorgui Dieng,14,C,2.08,114,1990-01-18,1623
约纳斯-瓦兰丘纳斯,Jonas Valanciunas,17,C,2.11,120,1992-05-06,1388
贾斯蒂斯-温斯洛,Justise Winslow,7,F-G,1.98,101,1996-03-26,1300
凯尔-安德森,Kyle Anderson,1,F-G,2.06,104,1993-09-20,907
贾-莫兰特,Ja Morant,12,G,1.91,79,1999-08-10,873
泰厄斯-琼斯,Tyus Jones,21,G,1.83,89,1996-05-10,800
小贾伦-杰克逊,Jaren Jackson,13,F-C,2.11,110,1999-09-15,693
马尔科-古杜里奇,Marko Guduric,23,G-F,1.98,91,1995-03-08,262
布兰登-克拉克,Brandon Clarke,15,F-G,2.03,98,1996-09-19,247
格雷森-阿伦,Grayson Allen,3,G,1.93,90,1995-10-08,243
狄龙-布鲁克斯,Dillon Brooks,24,G-F,2.01,102,1996-01-22,162
乔丹-贝尔,Jordan Bell,2,F,2.03,98,1995-01-07,160
丹东尼-梅尔顿,De'Anthony Melton,0,G,1.88,91,1998-05-28,135
约翰-康查尔,John Konchar,46,G,1.96,95,1996-03-22,7
渡边雄太,Yuta Watanabe,18,G-F,2.03,98,1994-10-13,7
贾罗德-尤托夫,Jarrod Uthoff,19,F,2.06,100,1993-05-19,null
约什-杰克逊,Josh Jackson,20,F-G,2.03,94,1997-02-10,null
朱-霍勒迪,Jrue Holiday,11,G,1.91,93,1990-06-12,2613
德里克-费沃斯,Derrick Favors,22,F-C,2.06,120,1991-07-15,1600
JJ-雷迪克,JJ Redick,4,G,1.91,91,1984-06-24,1292
蔡恩-威廉森,Zion Williamson,1,F,1.98,129,2000-07-06,975
朗佐-鲍尔,Lonzo Ball,2,G,1.98,86,1997-10-27,872
伊托万-摩尔,E'Twaun Moore,55,G,1.91,87,1989-02-25,866
布兰登-英格拉姆,Brandon Ingram,14,F,2.01,86,1997-09-02,727
达里厄斯-米勒,Darius Miller,21,F,1.98,102,1990-03-21,685
贾克森-海斯,Jaxson Hayes,10,C-F,2.11,100,2000-05-23,486
尼科勒-梅利,Nicolo Melli,20,F,2.06,107,1991-01-26,410
尼基尔-亚历山大-沃克,Nickeil Alexander-Walker,0,G,1.96,93,1998-09-02,296
约什-哈特,Josh Hart,3,G-F,1.96,98,1995-03-06,193
贾利尔-奥卡福,Jahlil Okafor,9,C-F,2.08,122,1995-12-15,170
弗兰克-杰克逊,Frank Jackson,15,G,1.91,93,1998-05-04,162
肯里奇-威廉姆斯,Kenrich Williams,34,G-F,1.98,95,1994-12-02,141
约什-格雷,Josh Gray,5,G,1.83,82,1993-09-09,7
泽尔-奇特汉,Zylan Cheatham,45,F,1.96,100,1995-11-17,null
德马尔-德罗赞,DeMar DeRozan,10,G-F,1.98,100,1989-08-07,2773
拉马库斯-阿尔德里奇,LaMarcus Aldridge,12,C-F,2.11,113,1985-07-19,2600
鲁迪-盖伊,Rudy Gay,22,F-G,2.03,113,1986-08-17,1560
帕蒂-米尔斯,Patty Mills,8,G,1.85,82,1988-08-11,1243
马科-贝里内利,Marco Belinelli,18,G,1.96,100,1986-03-25,585
特雷-莱尔斯,Trey Lyles,41,F,2.06,106,1995-11-05,550
雅各布-珀尔特尔,Jakob Poeltl,25,C,2.16,111,1995-10-15,375
布林-福布斯,Bryn Forbes,11,G,1.88,93,1993-07-23,287
朗尼-沃克,Lonnie Walker,1,G-F,1.96,93,1998-12-14,276
卢卡-沙马尼奇,Luka Samanic,19,F,2.08,103,2000-01-09,268
德章泰-默里,Dejounte Murray,5,G,1.93,82,1996-09-19,232
凯尔登-约翰逊,Keldon Johnson,3,F-G,1.96,100,1999-11-20,195
德里克-怀特,Derrick White,4,G,1.93,86,1994-07-02,195
奇梅齐耶-梅图,Chimezie Metu,7,F-C,2.06,102,1997-03-22,142
德鲁-尤班克斯,Drew Eubanks,14,F-C,2.06,111,1997-02-01,7
奎因达里-韦瑟斯庞,Quinndary Weatherspoon,15,G,1.91,93,1996-09-10,7
勒布朗-詹姆斯,LeBron James,23,F-G,2.06,113,1984-12-30,3744
安东尼-戴维斯,Anthony Davis,3,F-C,2.08,115,1993-03-11,2709
丹尼-格林,Danny Green,14,G-F,1.98,98,1987-06-22,1463
肯塔维厄斯-考德威尔-波普,Kentavious Caldwell-Pope,1,G,1.96,93,1993-02-18,769
埃弗里-布拉德利,Avery Bradley,11,G,1.91,82,1990-11-26,476
贾维尔-麦基,JaVale McGee,7,C-F,2.13,122,1988-01-19,394
马基夫-莫里斯,Markieff Morris,88,F,2.03,111,1989-09-02,360
奎因-库克,Quinn Cook,28,G,1.85,82,1993-03-23,292
亚历克斯-卡鲁索,Alex Caruso,4,G,1.96,84,1994-02-28,264
贾里德-杜德利,Jared Dudley,10,F,1.98,107,1985-07-10,260
德怀特-霍华德,Dwight Howard,39,C,2.08,120,1985-12-08,256
拉简-隆多,Rajon Rondo,9,G,1.85,82,1986-02-22,256
特洛伊-丹尼尔斯,Troy Daniels,30,G,1.93,91,1991-07-15,210
