player_cn_name,Relation,team_cn_name
拉塞尔-威斯布鲁克,WorkFor,Rockets
詹姆斯-哈登,WorkFor,Rockets
埃里克-戈登,WorkFor,Rockets
罗伯特-科温顿,WorkFor,Rockets
PJ-塔克,WorkFor,Rockets
丹纽尔-豪斯,WorkFor,Rockets
泰森-钱德勒,WorkFor,Rockets
萨博-塞福洛沙,WorkFor,Rockets
奥斯汀-里弗斯,WorkFor,Rockets
本-麦克勒摩,WorkFor,Rockets
布鲁诺-卡博克洛,WorkFor,Rockets
以赛亚-哈尔滕施泰因,WorkFor,Rockets
克里斯-克莱蒙斯,WorkFor,Rockets
德马雷-卡罗尔,WorkFor,Rockets
杰夫-格林,WorkFor,Rockets
威廉-霍华德,WorkFor,Rockets
迈克尔-弗雷泽,WorkFor,Rockets
克里斯塔普斯-波尔津吉斯,WorkFor,Mavericks
小蒂姆-哈达威,WorkFor,Mavericks
考特尼-李,WorkFor,Mavericks
德怀特-鲍威尔,WorkFor,Mavericks
德朗-赖特,WorkFor,Mavericks
马克西-克勒贝尔,WorkFor,Mavericks
卢卡-东契奇,WorkFor,Mavericks
塞思-库里,WorkFor,Mavericks
威利-考利-斯坦,WorkFor,Mavericks
多里安-芬尼-史密斯,WorkFor,Mavericks
博班-马里亚诺维奇,WorkFor,Mavericks
贾斯廷-杰克逊,WorkFor,Mavericks
何塞-巴里亚,WorkFor,Mavericks
杰伦-布伦森,WorkFor,Mavericks
约什-里夫斯,WorkFor,Mavericks
安东尼斯-克利夫兰,WorkFor,Mavericks
迈克尔-基德-吉尔克里斯特,WorkFor,Mavericks
戈尔吉-吉昂,WorkFor,Grizzlies
约纳斯-瓦兰丘纳斯,WorkFor,Grizzlies
贾斯蒂斯-温斯洛,WorkFor,Grizzlies
凯尔-安德森,WorkFor,Grizzlies
贾-莫兰特,WorkFor,Grizzlies
泰厄斯-琼斯,WorkFor,Grizzlies
小贾伦-杰克逊,WorkFor,Grizzlies
马尔科-古杜里奇,WorkFor,Grizzlies
布兰登-克拉克,WorkFor,Grizzlies
格雷森-阿伦,WorkFor,Grizzlies
狄龙-布鲁克斯,WorkFor,Grizzlies
乔丹-贝尔,WorkFor,Grizzlies
丹东尼-梅尔顿,WorkFor,Grizzlies
约翰-康查尔,WorkFor,Grizzlies
渡边雄太,WorkFor,Grizzlies
贾罗德-尤托夫,WorkFor,Grizzlies
约什-杰克逊,WorkFor,Grizzlies
朱-霍勒迪,WorkFor,Pelicans
德里克-费沃斯,WorkFor,Pelicans
JJ-雷迪克,WorkFor,Pelicans
蔡恩-威廉森,WorkFor,Pelicans
朗佐-鲍尔,WorkFor,Pelicans
伊托万-摩尔,WorkFor,Pelicans
布兰登-英格拉姆,WorkFor,Pelicans
达里厄斯-米勒,WorkFor,Pelicans
贾克森-海斯,WorkFor,Pelicans
尼科勒-梅利,WorkFor,Pelicans
尼基尔-亚历山大-沃克,WorkFor,Pelicans
约什-哈特,WorkFor,Pelicans
贾利尔-奥卡福,WorkFor,Pelicans
弗兰克-杰克逊,WorkFor,Pelicans
肯里奇-威廉姆斯,WorkFor,Pelicans
约什-格雷,WorkFor,Pelicans
泽尔-奇特汉,WorkFor,Pelicans
德马尔-德罗赞,WorkFor,Spurs
拉马库斯-阿尔德里奇,WorkFor,Spurs
鲁迪-盖伊,WorkFor,Spurs
帕蒂-米尔斯,WorkFor,Spurs
马科-贝里内利,WorkFor,Spurs
特雷-莱尔斯,WorkFor,Spurs
雅各布-珀尔特尔,WorkFor,Spurs
布林-福布斯,WorkFor,Spurs
朗尼-沃克,WorkFor,Spurs
卢卡-沙马尼奇,WorkFor,Spurs
德章泰-默里,WorkFor,Spurs
凯尔登-约翰逊,WorkFor,Spurs
德里克-怀特,WorkFor,Spurs
奇梅齐耶-梅图,WorkFor,Spurs
德鲁-尤班克斯,WorkFor,Spurs
奎因达里-韦瑟斯庞,WorkFor,Spurs
勒布朗-詹姆斯,WorkFor,Lakers
安东尼-戴维斯,WorkFor,Lakers
丹尼-格林,WorkFor,Lakers
肯塔维厄斯-考德威尔-波普,WorkFor,Lakers
埃弗里-布拉德利,WorkFor,Lakers
贾维尔-麦基,WorkFor,Lakers
马基夫-莫里斯,WorkFor,Lakers
奎因-库克,WorkFor,Lakers
亚历克斯-卡鲁索,WorkFor,Lakers
贾里德-杜德利,WorkFor,Lakers
德怀特-霍华德,WorkFor,Lakers
拉简-隆多,WorkFor,Lakers
特洛伊-丹尼尔斯,WorkFor,Lakers
凯尔-库兹马,WorkFor,Lakers
塔伦-霍顿-塔克,WorkFor,Lakers
科斯塔斯-阿德托昆博,WorkFor,Lakers
德文泰-卡考克,WorkFor,Lakers
保罗-乔治,WorkFor,Clippers
科怀-伦纳德,WorkFor,Clippers
雷吉-杰克逊,WorkFor,Clippers
马库斯-莫里斯,WorkFor,Clippers
帕特里克-贝弗利,WorkFor,Clippers
路易斯-威廉姆斯,WorkFor,Clippers
伊维察-祖巴茨,WorkFor,Clippers
蒙特雷兹-哈勒尔,WorkFor,Clippers
杰迈克尔-格林,WorkFor,Clippers
罗德尼-麦格鲁德,WorkFor,Clippers
帕特里克-帕特森,WorkFor,Clippers
兰德里-沙梅特,WorkFor,Clippers
菲翁杜-卡本盖莱,WorkFor,Clippers
特伦斯-曼,WorkFor,Clippers
阿米尔-科菲,WorkFor,Clippers
乔纳森-莫特利,WorkFor,Clippers
肯特-贝兹莫尔,WorkFor,Kings
哈里森-巴恩斯,WorkFor,Kings
科里-约瑟夫,WorkFor,Kings
马文-巴格利,WorkFor,Kings
波格丹-波格丹诺维奇,WorkFor,Kings
内马尼亚-别利察,WorkFor,Kings
达龙-福克斯,WorkFor,Kings
贾巴里-帕克,WorkFor,Kings
巴迪-希尔德,WorkFor,Kings
里乔恩-霍姆斯,WorkFor,Kings
亚历克斯-莱恩,WorkFor,Kings
约吉-费雷尔,WorkFor,Kings
安东尼-托利弗,WorkFor,Kings
哈里-贾尔斯,WorkFor,Kings
贾斯廷-詹姆斯,WorkFor,Kings
达匡-杰弗里斯,WorkFor,Kings
凯尔-盖伊,WorkFor,Kings
德文-布克,WorkFor,Suns
里基-卢比奥,WorkFor,Suns
凯利-乌布雷,WorkFor,Suns
德安德烈-艾顿,WorkFor,Suns
阿隆-贝恩斯,WorkFor,Suns
弗兰克-卡明斯基,WorkFor,Suns
卡梅伦-约翰逊,WorkFor,Suns
米卡尔-布里奇斯,WorkFor,Suns
达里奥-沙里奇,WorkFor,Suns
泰-杰罗姆,WorkFor,Suns
谢赫-迪亚洛,WorkFor,Suns
埃利-奥科博,WorkFor,Suns
杰文-卡特,WorkFor,Suns
塔里克-欧文斯,WorkFor,Suns
杰里德-哈珀,WorkFor,Suns
杰伦-勒丘,WorkFor,Suns
斯蒂芬-库里,WorkFor,Warriors
克莱-汤普森,WorkFor,Warriors
安德鲁-威金斯,WorkFor,Warriors
德雷蒙德-格林,WorkFor,Warriors
凯文-卢尼,WorkFor,Warriors
乔丹-普尔,WorkFor,Warriors
阿伦-斯马伊拉吉奇,WorkFor,Warriors
达米恩-李,WorkFor,Warriors
凯-鲍曼,WorkFor,Warriors
迈克尔-穆尔德,WorkFor,Warriors
德拉甘-本德尔,WorkFor,Warriors
马基斯-克里斯,WorkFor,Warriors
埃里克-帕斯卡尔,WorkFor,Warriors
胡安-托斯卡诺-安德森,WorkFor,Warriors
保罗-米尔萨普,WorkFor,Nuggets
尼古拉-约基奇,WorkFor,Nuggets
加里-哈里斯,WorkFor,Nuggets
梅森-普拉姆利,WorkFor,Nuggets
威尔-巴顿,WorkFor,Nuggets
杰拉米-格兰特,WorkFor,Nuggets
贾马尔-默里,WorkFor,Nuggets
小迈克尔-波特,WorkFor,Nuggets
诺阿-冯莱,WorkFor,Nuggets
托里-克雷格,WorkFor,Nuggets
乔丹-麦克雷,WorkFor,Nuggets
PJ-多齐尔,WorkFor,Nuggets
蒙特-莫里斯,WorkFor,Nuggets
弗拉特科-钱查尔,WorkFor,Nuggets
波尔-波尔,WorkFor,Nuggets
凯塔-贝茨-迪奥普,WorkFor,Nuggets
迈克-康利,WorkFor,Jazz
鲁迪-戈贝尔,WorkFor,Jazz
博扬-波格丹诺维奇,WorkFor,Jazz
乔丹-克拉克森,WorkFor,Jazz
乔-英格尔斯,WorkFor,Jazz
埃德-戴维斯,WorkFor,Jazz
多诺万-米切尔,WorkFor,Jazz
托尼-布拉德利,WorkFor,Jazz
伊曼纽尔-穆迪埃,WorkFor,Jazz
乔治-尼昂,WorkFor,Jazz
罗伊斯-奥尼尔,WorkFor,Jazz
尼格尔-威廉姆斯-戈斯,WorkFor,Jazz
雷琼-塔克,WorkFor,Jazz
朱万-摩根,WorkFor,Jazz
米耶-奥尼,WorkFor,Jazz
贾雷尔-布兰特利,WorkFor,Jazz
贾斯廷-赖特-福尔曼,WorkFor,Jazz
克里斯-保罗,WorkFor,Thunder
史蒂文-亚当斯,WorkFor,Thunder
达尼罗-加里纳利,WorkFor,Thunder
丹尼斯-施罗德,WorkFor,Thunder
安德烈-罗伯森,WorkFor,Thunder
谢伊-吉尔杰斯-亚历山大,WorkFor,Thunder
特伦斯-弗格森,WorkFor,Thunder
达里厄斯-贝兹利,WorkFor,Thunder
迈克-穆斯卡拉,WorkFor,Thunder
纳伦斯-诺埃尔,WorkFor,Thunder
阿卜杜勒-纳迪尔,WorkFor,Thunder
德翁特-伯顿,WorkFor,Thunder
哈米杜-迪亚洛,WorkFor,Thunder
吕冈茨-多尔特,WorkFor,Thunder
以赛亚-罗比,WorkFor,Thunder
凯文-赫维,WorkFor,Thunder
达米安-利拉德,WorkFor,Blazers
CJ-麦科勒姆,WorkFor,Blazers
哈桑-怀特塞德,WorkFor,Blazers
特雷沃-阿里扎,WorkFor,Blazers
优素福-努尔基奇,WorkFor,Blazers
罗德尼-胡德,WorkFor,Blazers
扎克-科林斯,WorkFor,Blazers
纳西尔-利特尔,WorkFor,Blazers
卡梅罗-安东尼,WorkFor,Blazers
安芬尼-西蒙斯,WorkFor,Blazers
凯莱布-斯瓦尼根,WorkFor,Blazers
马里奥-海佐尼亚,WorkFor,Blazers
小加里-特伦特,WorkFor,Blazers
杰伦-霍尔德,WorkFor,Blazers
韦尼恩-加布里埃尔,WorkFor,Blazers
摩西-布朗,WorkFor,Blazers
丹吉洛-拉塞尔,WorkFor,Timberwolves
卡尔-安东尼-唐斯,WorkFor,Timberwolves
埃文-特纳,WorkFor,Timberwolves
阿伦-克拉布,WorkFor,Timberwolves
詹姆斯-约翰逊,WorkFor,Timberwolves
贾勒特-卡尔弗,WorkFor,Timberwolves
杰克-莱曼,WorkFor,Timberwolves
胡安-埃尔南戈麦斯,WorkFor,Timberwolves
马利克-比斯利,WorkFor,Timberwolves
约什-奥科吉,WorkFor,Timberwolves
雅各布-埃文斯,WorkFor,Timberwolves
奥马里-斯佩尔曼,WorkFor,Timberwolves
贾里德-范德比尔特,WorkFor,Timberwolves
凯勒-马丁,WorkFor,Timberwolves
乔丹-麦克劳克林,WorkFor,Timberwolves
纳兹-里德,WorkFor,Timberwolves
杰伦-诺埃尔,WorkFor,Timberwolves
凯尔-洛瑞,WorkFor,Raptors
马克-加索尔,WorkFor,Raptors
赛尔吉-伊巴卡,WorkFor,Raptors
诺曼-鲍威尔,WorkFor,Raptors
弗雷德-范弗利特,WorkFor,Raptors
帕特里克-麦考,WorkFor,Raptors
斯坦利-约翰逊,WorkFor,Raptors
帕斯卡尔-西亚卡姆,WorkFor,Raptors
OG-阿奴诺比,WorkFor,Raptors
朗戴-霍利斯-杰弗森,WorkFor,Raptors
马尔科姆-米勒,WorkFor,Raptors
克里斯-布歇,WorkFor,Raptors
马特-托马斯,WorkFor,Raptors
特伦斯-戴维斯,WorkFor,Raptors
德万-埃尔南德斯,WorkFor,Raptors
保罗-沃特森,WorkFor,Raptors
奥谢-布里塞特,WorkFor,Raptors
肯巴-沃克,WorkFor,Celtics
戈登-海沃德,WorkFor,Celtics
马库斯-斯马特,WorkFor,Celtics
杰森-塔特姆,WorkFor,Celtics
杰伦-布朗,WorkFor,Celtics
丹尼尔-泰斯,WorkFor,Celtics
埃内斯-坎特,WorkFor,Celtics
罗密欧-兰福德,WorkFor,Celtics
樊尚-普瓦里耶,WorkFor,Celtics
格兰特-威廉姆斯,WorkFor,Celtics
罗伯特-威廉姆斯,WorkFor,Celtics
谢米-奥杰莱,WorkFor,Celtics
布拉德-沃纳梅克,WorkFor,Celtics
卡森-爱德华兹,WorkFor,Celtics
塔科-法尔,WorkFor,Celtics
哈维特-格林,WorkFor,Celtics
特里蒙特-沃特斯,WorkFor,Celtics
托拜厄斯-哈里斯,WorkFor,76ers
乔尔-恩比德,WorkFor,76ers
艾尔-霍弗德,WorkFor,76ers
约什-理查德森,WorkFor,76ers
本-西蒙斯,WorkFor,76ers
迈克-斯科特,WorkFor,76ers
扎伊尔-史密斯,WorkFor,76ers
马蒂斯-赛布尔,WorkFor,76ers
亚历克-伯克斯,WorkFor,76ers
凯尔-奥奎因,WorkFor,76ers
劳尔-内托,WorkFor,76ers
格伦-罗宾逊三世,WorkFor,76ers
富尔坎-科尔克马兹,WorkFor,76ers
谢克-米尔顿,WorkFor,76ers
诺维尔-佩莱,WorkFor,76ers
马里亚尔-沙约克,WorkFor,76ers
凯文-杜兰特,WorkFor,Nets
凯里-欧文,WorkFor,Nets
斯潘塞-丁威迪,WorkFor,Nets
德安德烈-乔丹,WorkFor,Nets
乔-哈里斯,WorkFor,Nets
加莱特-坦普尔,WorkFor,Nets
托里恩-普林斯,WorkFor,Nets
卡里斯-勒韦尔,WorkFor,Nets
威尔森-钱德勒,WorkFor,Nets
贾勒特-阿伦,WorkFor,Nets
扎南-穆萨,WorkFor,Nets
罗季翁斯-库鲁茨,WorkFor,Nets
西奥-平森,WorkFor,Nets
尼古拉斯-克拉克斯顿,WorkFor,Nets
杰雷米亚-马丁,WorkFor,Nets
克里斯-奇奥萨,WorkFor,Nets
蒂莫泰-卢瓦乌-卡巴罗,WorkFor,Nets
朱利叶斯-兰德尔,WorkFor,Knicks
博比-波蒂斯,WorkFor,Knicks
莫里斯-哈克利斯,WorkFor,Knicks
泰-吉布森,WorkFor,Knicks
RJ-巴雷特,WorkFor,Knicks
韦恩-艾灵顿,WorkFor,Knicks
埃尔弗里德-佩顿,WorkFor,Knicks
弗朗克-尼利基纳,WorkFor,Knicks
雷吉-布洛克,WorkFor,Knicks
丹尼斯-史密斯,WorkFor,Knicks
凯文-诺克斯,WorkFor,Knicks
阿朗佐-特里尔,WorkFor,Knicks
丹伊恩-多特森,WorkFor,Knicks
米切尔-罗宾逊,WorkFor,Knicks
伊格纳斯-布拉兹代基斯,WorkFor,Knicks
卡迪姆-阿伦,WorkFor,Knicks
肯尼-伍滕,WorkFor,Knicks
吉米-巴特勒,WorkFor,Heat
戈兰-德拉季奇,WorkFor,Heat
安德烈-伊格达拉,WorkFor,Heat
所罗门-希尔,WorkFor,Heat
凯利-奥利尼克,WorkFor,Heat
迈耶斯-伦纳德,WorkFor,Heat
杰-克劳德,WorkFor,Heat
泰勒-希罗,WorkFor,Heat
巴姆-阿德巴约,WorkFor,Heat
