team_cn_name,city,team_en_name,enterTime,homeland,division,website,coach
火箭,Houston,Rockets,1967年,丰田中心,西南赛区,http://www.nba.com/rockets/,迈克-德安东尼
独行侠,Dallas,Mavericks,1980年,美国航空中心,西南赛区,http://www.nba.com/mavericks/,里克-卡莱尔
灰熊,Memphis,Grizzlies,1995年,联邦快递球馆,西南赛区,http://www.nba.com/grizzlies/,泰勒-詹金斯
鹈鹕,New Orleans,Pelicans,1987年,冰沙王中心,西南赛区,http://www.nba.com/pelicans/,阿尔文-金特里
马刺,San Antonio,Spurs,1976年,AT&T 中心,西南赛区,http://www.nba.com/spurs/,格雷格-波波维奇
湖人,Los Angeles,Lakers,1947年,斯台普斯中心,太平洋赛区,http://www.nba.com/lakers/,弗兰克-沃格尔
快船,Los Angeles,Clippers,1970年,斯台普斯中心,太平洋赛区,http://www.nba.com/clippers/,道格-里弗斯
国王,Sacramento,Kings,1951年,黄金一号中心,太平洋赛区,http://www.nba.com/kings/,卢克-沃顿
太阳,Phoenix,Suns,1968年,托金斯迪克度假酒店球馆,太平洋赛区,http://www.nba.com/suns/,蒙蒂-威廉姆斯
勇士,Golden State,Warriors,1946年,大通中心,太平洋赛区,http://www.nba.com/warriors/,史蒂夫-科尔
掘金,Denver,Nuggets,1967年,百事中心,西北赛区,http://www.nba.com/nuggets/,迈克尔-马龙
爵士,Utah,Jazz,1974年,威英特智能家居球馆,西北赛区,http://www.nba.com/jazz/,奎因-斯奈德
雷霆,Oklahoma City,Thunder,1979年,切萨皮克能源球馆,西北赛区,http://www.nba.com/thunder/,比利-多诺万
开拓者,Portland,Blazers,1977年,摩达中心,西北赛区,http://www.nba.com/blazers/,特里-斯托茨
森林狼,Minnesota,Timberwolves,1989年,标靶中心,西北赛区,http://www.nba.com/timberwolves/,莱恩-桑德斯
猛龙,Toronto,Raptors,1995年,加拿大丰业银行球馆,大西洋赛区,http://www.nba.com/raptors/,尼克-纳斯
凯尔特人,Boston,Celtics,1946年,TD花园,大西洋赛区,http://www.nba.com/celtics/,布拉德-史蒂文斯
76人,Philadelphia,76ers,1949年,富国银行中心,大西洋赛区,http://www.nba.com/sixers/,布雷特-布朗
篮网,Brooklyn,Nets,1967年,巴克莱中心,大西洋赛区,https://www.nba.com/nets/,肯尼-阿特金森
尼克斯,New York,Knicks,1946年,麦迪逊广场花园,大西洋赛区,http://www.nba.com/knicks/,大卫-菲兹代尔
热火,Miami,Heat,1988年,美国航空球馆,东南赛区,http://www.nba.com/heat/,埃里克-斯波尔斯特拉
魔术,Orlando,Magic,1989年,安利球馆,东南赛区,http://www.nba.com/magic/,史蒂夫-克利福德
奇才,Washington,Wizards,1961年,威瑞森中心,东南赛区,http://www.nba.com/wizards/,斯科特-布鲁克斯
黄蜂,Charlotte,Hornets,1988年,时代华纳有线球馆,东南赛区,http://www.nba.com/bobcats/,詹姆斯-博雷戈
老鹰,Atlanta,Hawks,1949年,菲利普斯球馆,东南赛区,http://www.nba.com/hawks/,劳埃德-皮尔斯
雄鹿,Milwaukee,Bucks,1968年,Fiserv广场球馆,中部赛区,http://www.nba.com/bucks/,迈克-布登霍尔泽
步行者,Indiana,Pacers,1976年,银行家人寿球馆,中部赛区,http://www.nba.com/pacers/,内特-麦克米兰
公牛,Chicago,Bulls,1966年,联合中心,中部赛区,http://www.nba.com/bulls/,吉姆-博伊兰
活塞,Detroit,Pistons,1948年,小凯撒球馆,中部赛区,http://www.nba.com/pistons/,德韦恩-凯西
骑士,Cleveland,Cavaliers,1970年,速贷球馆,中部赛区,http://www.nba.com/cavaliers/,JB-比克斯塔夫
